DATE,VALUE
2017-10-02,22.57
2017-10-03,22.64
2017-10-04,22.87
2017-10-05,22.71
2017-10-06,22.71
2017-10-09,23.07
2017-10-10,23.24
2017-10-11,23.27
2017-10-12,23.28
2017-10-13,23.30
2017-10-16,23.54
2017-10-17,23.21
2017-10-18,23.02
2017-10-19,23.10
2017-10-20,23.22
2017-10-23,23.15
2017-10-24,23.20
2017-10-25,23.01
2017-10-26,23.09
2017-10-27,22.89
2017-10-30,22.81
2017-10-31,22.91
2017-11-01,23.05
2017-11-02,23.23
2017-11-03,23.25
2017-11-06,23.07
2017-11-07,23.20
2017-11-08,23.16
2017-11-09,23.25
2017-11-10,23.13
2017-11-13,23.04
2017-11-14,23.05
2017-11-15,23.20
2017-11-16,23.12
2017-11-17,23.17
2017-11-20,23.25
2017-11-21,23.04
2017-11-22,22.94
2017-11-23,23.00
2017-11-24,22.96
2017-11-27,22.99
2017-11-28,22.96
2017-11-29,22.73
2017-11-30,22.36
2017-12-01,22.12
2017-12-04,22.02
2017-12-05,21.92
2017-12-06,21.72
2017-12-07,21.48
2017-12-08,21.42
2017-12-11,21.40
2017-12-12,21.33
2017-12-13,21.25
2017-12-14,21.57
2017-12-15,21.53
2017-12-18,21.70
2017-12-19,21.76
2017-12-20,21.79
2017-12-21,21.72
2017-12-22,21.75
2017-12-25,.
2017-12-26,.
2017-12-27,22.11
2017-12-28,22.40
2017-12-29,22.53
2018-01-01,.
2018-01-02,22.67
2018-01-03,22.77
2018-01-04,22.77
2018-01-05,22.77
2018-01-08,22.86
2018-01-09,22.78
2018-01-10,22.82
2018-01-11,22.68
2018-01-12,22.72
2018-01-15,22.91
2018-01-16,22.63
2018-01-17,22.78
2018-01-18,22.59
2018-01-19,22.50
2018-01-22,22.47
2018-01-23,22.41
2018-01-24,22.54
2018-01-25,22.89
2018-01-26,22.75
2018-01-29,22.71
2018-01-30,22.65
2018-01-31,22.54
2018-02-01,22.58
2018-02-02,22.51
2018-02-05,22.23
2018-02-06,22.21
2018-02-07,22.03
2018-02-08,21.72
2018-02-09,21.78
2018-02-12,21.78
2018-02-13,21.95
2018-02-14,21.88
2018-02-15,22.09
2018-02-16,22.05
2018-02-19,21.94
2018-02-20,21.85
2018-02-21,21.71
2018-02-22,21.77
2018-02-23,21.96
2018-02-26,21.94
2018-02-27,21.91
2018-02-28,21.75
2018-03-01,21.64
2018-03-02,21.71
2018-03-05,21.79
2018-03-06,21.87
2018-03-07,21.89
2018-03-08,21.70
2018-03-09,21.72
2018-03-12,21.64
2018-03-13,21.68
2018-03-14,21.73
2018-03-15,21.65
2018-03-16,21.65
2018-03-19,21.46
2018-03-20,21.41
2018-03-21,21.43
2018-03-22,21.72
2018-03-23,21.72
2018-03-26,21.77
2018-03-27,21.78
2018-03-28,21.53
2018-03-29,21.36
2018-03-30,.
2018-04-02,.
2018-04-03,21.65
2018-04-04,21.65
2018-04-05,21.42
2018-04-06,21.46
2018-04-09,21.47
2018-04-10,21.62
2018-04-11,21.68
2018-04-12,21.84
2018-04-13,21.65
2018-04-16,21.77
2018-04-17,21.77
2018-04-18,22.21
2018-04-19,22.52
2018-04-20,22.48
2018-04-23,22.42
2018-04-24,21.95
2018-04-25,21.99
2018-04-26,21.96
2018-04-27,21.92
2018-04-30,21.70
2018-05-01,21.64
2018-05-02,21.84
2018-05-03,21.93
2018-05-04,21.89
2018-05-07,.
2018-05-08,22.01
2018-05-09,22.04
2018-05-10,22.25
2018-05-11,22.34
2018-05-14,22.19
2018-05-15,21.95
2018-05-16,21.82
2018-05-17,22.00
2018-05-18,22.04
2018-05-21,21.98
2018-05-22,22.17
2018-05-23,22.23
2018-05-24,22.14
2018-05-25,22.32
2018-05-28,.
2018-05-29,22.20
2018-05-30,21.94
2018-05-31,22.15
2018-06-01,21.96
2018-06-04,21.95
2018-06-05,21.88
2018-06-06,22.06
2018-06-07,22.30
2018-06-08,22.35
2018-06-11,22.38
2018-06-12,22.50
2018-06-13,22.58
2018-06-14,22.84
2018-06-15,23.20
2018-06-18,22.42
2018-06-19,22.22
2018-06-20,22.12
2018-06-21,22.11
2018-06-22,22.31
2018-06-25,22.32
2018-06-26,22.10
2018-06-27,22.10
2018-06-28,22.01
2018-06-29,21.87
2018-07-02,21.85
2018-07-03,21.77
2018-07-04,21.90
2018-07-05,21.77
2018-07-06,21.76
2018-07-09,21.94
2018-07-10,21.63
2018-07-11,21.65
2018-07-12,21.60
2018-07-13,21.64
2018-07-16,21.52
2018-07-17,21.46
2018-07-18,21.13
2018-07-19,20.94
2018-07-20,21.04
2018-07-23,21.12
2018-07-24,21.14
2018-07-25,21.21
2018-07-26,21.14
2018-07-27,20.94
2018-07-30,21.09
2018-07-31,21.01
2018-08-01,21.07
2018-08-02,21.11
2018-08-03,21.04
2018-08-06,21.00
2018-08-07,21.10
2018-08-08,20.94
2018-08-09,21.10
2018-08-10,21.07
2018-08-13,20.90
2018-08-14,20.66
2018-08-15,20.47
2018-08-16,20.11
2018-08-17,20.15
2018-08-20,20.24
2018-08-21,20.21
2018-08-22,20.23
2018-08-23,20.03
2018-08-24,20.02
2018-08-27,.
2018-08-28,20.31
2018-08-29,20.08
2018-08-30,20.03
2018-08-31,20.08
2018-09-03,19.92
2018-09-04,19.62
2018-09-05,19.53
2018-09-06,19.61
2018-09-07,19.51
2018-09-10,19.61
2018-09-11,19.46
2018-09-12,19.49
2018-09-13,19.52
2018-09-14,19.46
2018-09-17,19.46
2018-09-18,19.48
2018-09-19,19.44
2018-09-20,19.46
2018-09-21,19.54
2018-09-24,19.53
2018-09-25,19.52
2018-09-26,19.77
2018-09-27,19.67
2018-09-28,19.57
2018-10-01,19.93
2018-10-02,19.95
2018-10-03,20.28
2018-10-04,20.19
2018-10-05,20.23
2018-10-08,20.04
2018-10-09,19.86
2018-10-10,19.87
2018-10-11,19.87
2018-10-12,20.11
2018-10-15,20.29
2018-10-16,20.30
2018-10-17,20.16
2018-10-18,20.00
2018-10-19,20.14
2018-10-22,20.17
2018-10-23,.
2018-10-24,20.34
2018-10-25,20.34
2018-10-26,20.32
2018-10-29,20.25
2018-10-30,19.98
2018-10-31,19.86
2018-11-01,19.93
2018-11-02,20.32
2018-11-05,20.29
2018-11-06,20.21
2018-11-07,20.08
2018-11-08,19.87
2018-11-09,19.75
2018-11-12,19.57
2018-11-13,19.37
2018-11-14,19.30
2018-11-15,19.46
2018-11-16,19.66
2018-11-19,19.70
2018-11-20,19.81
2018-11-21,19.80
2018-11-22,19.93
2018-11-23,19.60
2018-11-26,19.74
2018-11-27,19.63
2018-11-28,19.49
2018-11-29,19.56
2018-11-30,19.52
2018-12-03,19.67
2018-12-04,19.83
2018-12-05,19.79
2018-12-06,19.72
2018-12-07,19.84
2018-12-10,19.91
2018-12-11,20.09
2018-12-12,20.13
2018-12-13,20.12
2018-12-14,20.07
2018-12-17,20.07
2018-12-18,20.08
2018-12-19,20.06
2018-12-20,20.20
2018-12-21,20.12
2018-12-24,20.14
2018-12-25,.
2018-12-26,.
2018-12-27,20.68
2018-12-28,20.90
2018-12-31,.
2019-01-01,.
2019-01-02,21.06
2019-01-03,21.23
2019-01-04,21.38
2019-01-07,21.38
2019-01-08,21.24
2019-01-09,21.18
2019-01-10,21.22
