DATE,VALUE
2017-10-02,554.50
2017-10-03,555.01
2017-10-04,560.80
2017-10-05,555.53
2017-10-06,556.12
2017-10-09,564.90
2017-10-10,569.67
2017-10-11,569.38
2017-10-12,569.67
2017-10-13,569.26
2017-10-16,575.49
2017-10-17,566.63
2017-10-18,561.73
2017-10-19,563.96
2017-10-20,566.47
2017-10-23,564.08
2017-10-24,565.25
2017-10-25,560.77
2017-10-26,562.69
2017-10-27,556.93
2017-10-30,556.46
2017-10-31,558.70
2017-11-01,561.68
2017-11-02,565.51
2017-11-03,565.94
2017-11-06,560.65
2017-11-07,563.61
2017-11-08,562.87
2017-11-09,565.98
2017-11-10,563.06
2017-11-13,559.75
2017-11-14,560.13
2017-11-15,565.01
2017-11-16,561.62
2017-11-17,561.07
2017-11-20,561.97
2017-11-21,557.09
2017-11-22,555.47
2017-11-23,558.60
2017-11-24,557.19
2017-11-27,557.98
2017-11-28,556.30
2017-11-29,549.47
2017-11-30,540.65
2017-12-01,535.64
2017-12-04,532.44
2017-12-05,530.74
2017-12-06,525.81
2017-12-07,519.18
2017-12-08,516.99
2017-12-11,516.51
2017-12-12,514.57
2017-12-13,511.80
2017-12-14,520.51
2017-12-15,519.66
2017-12-18,525.36
2017-12-19,528.00
2017-12-20,530.09
2017-12-21,528.67
2017-12-22,529.93
2017-12-25,.
2017-12-26,.
2017-12-27,541.25
2017-12-28,546.22
2017-12-29,549.49
2018-01-01,.
2018-01-02,553.27
2018-01-03,553.12
2018-01-04,552.27
2018-01-05,552.38
2018-01-08,552.99
2018-01-09,550.24
2018-01-10,549.96
2018-01-11,544.81
2018-01-12,547.22
2018-01-15,553.57
2018-01-16,546.75
2018-01-17,550.22
2018-01-18,545.46
2018-01-19,543.45
2018-01-22,542.70
2018-01-23,540.66
2018-01-24,544.05
2018-01-25,551.16
2018-01-26,546.08
2018-01-29,545.10
2018-01-30,543.02
2018-01-31,539.80
2018-02-01,539.15
2018-02-02,537.82
2018-02-05,532.45
2018-02-06,530.24
2018-02-07,526.66
2018-02-08,520.69
2018-02-09,520.05
2018-02-12,520.54
2018-02-13,523.03
2018-02-14,520.94
2018-02-15,526.74
2018-02-16,526.51
2018-02-19,524.69
2018-02-20,521.90
2018-02-21,517.51
2018-02-22,519.68
2018-02-23,522.35
2018-02-26,521.96
2018-02-27,521.17
2018-02-28,516.36
2018-03-01,514.93
2018-03-02,517.27
2018-03-05,518.98
2018-03-06,520.94
2018-03-07,521.29
2018-03-08,516.58
2018-03-09,516.93
2018-03-12,515.40
2018-03-13,516.21
2018-03-14,516.56
2018-03-15,514.76
2018-03-16,513.89
2018-03-19,508.15
2018-03-20,506.94
2018-03-21,507.32
2018-03-22,516.40
2018-03-23,515.77
2018-03-26,517.42
2018-03-27,519.00
2018-03-28,514.33
2018-03-29,508.68
2018-03-30,.
2018-04-02,.
2018-04-03,515.45
2018-04-04,514.47
2018-04-05,509.10
2018-04-06,509.09
2018-04-09,511.08
2018-04-10,514.84
2018-04-11,516.20
2018-04-12,519.45
2018-04-13,514.22
2018-04-16,518.70
2018-04-17,519.02
2018-04-18,529.31
2018-04-19,536.98
2018-04-20,535.96
2018-04-23,533.62
2018-04-24,521.94
2018-04-25,523.06
2018-04-26,522.75
2018-04-27,521.65
2018-04-30,517.15
2018-05-01,514.33
2018-05-02,518.78
2018-05-03,521.19
2018-05-04,521.32
2018-05-07,.
2018-05-08,524.63
2018-05-09,526.91
2018-05-10,532.35
2018-05-11,533.92
2018-05-14,529.93
2018-05-15,524.31
2018-05-16,521.92
2018-05-17,525.62
2018-05-18,527.90
2018-05-21,526.56
2018-05-22,531.07
2018-05-23,531.08
2018-05-24,528.81
2018-05-25,531.76
2018-05-28,.
2018-05-29,528.59
2018-05-30,525.19
2018-05-31,530.20
2018-06-01,525.30
2018-06-04,526.03
2018-06-05,523.86
2018-06-06,527.83
2018-06-07,534.71
2018-06-08,536.24
2018-06-11,537.67
2018-06-12,540.92
2018-06-13,543.12
2018-06-14,550.29
2018-06-15,558.61
2018-06-18,542.39
2018-06-19,536.52
2018-06-20,534.37
2018-06-21,535.15
2018-06-22,541.34
2018-06-25,539.92
2018-06-26,535.29
2018-06-27,534.99
2018-06-28,533.47
2018-06-29,530.92
2018-07-02,529.74
2018-07-03,529.17
2018-07-04,532.26
2018-07-05,530.04
2018-07-06,530.97
2018-07-09,537.02
2018-07-10,528.80
2018-07-11,529.63
2018-07-12,526.87
2018-07-13,527.44
2018-07-16,525.92
2018-07-17,524.51
2018-07-18,515.06
2018-07-19,510.65
2018-07-20,514.03
2018-07-23,517.64
2018-07-24,517.27
2018-07-25,518.17
2018-07-26,517.31
2018-07-27,513.33
2018-07-30,515.69
2018-07-31,513.30
2018-08-01,512.62
2018-08-02,514.45
2018-08-03,512.08
2018-08-06,511.79
2018-08-07,513.89
2018-08-08,509.59
2018-08-09,513.47
2018-08-10,511.47
2018-08-13,507.18
2018-08-14,500.24
2018-08-15,494.49
2018-08-16,486.03
2018-08-17,487.45
2018-08-20,487.87
2018-08-21,483.36
2018-08-22,485.30
2018-08-23,479.43
2018-08-24,478.54
2018-08-27,.
2018-08-28,485.15
2018-08-29,480.23
2018-08-30,479.64
2018-08-31,479.88
2018-09-03,475.42
2018-09-04,467.62
2018-09-05,464.92
2018-09-06,467.68
2018-09-07,465.08
2018-09-10,466.84
2018-09-11,463.70
2018-09-12,464.37
2018-09-13,464.42
2018-09-14,462.68
2018-09-17,462.57
2018-09-18,463.05
2018-09-19,460.27
2018-09-20,460.60
2018-09-21,464.25
2018-09-24,464.16
2018-09-25,463.43
2018-09-26,469.66
2018-09-27,467.28
2018-09-28,462.80
2018-10-01,469.11
2018-10-02,469.99
2018-10-03,477.13
2018-10-04,477.44
2018-10-05,481.00
2018-10-08,476.85
2018-10-09,473.84
2018-10-10,473.07
2018-10-11,472.06
2018-10-12,478.16
2018-10-15,481.61
2018-10-16,481.37
2018-10-17,476.82
2018-10-18,472.48
2018-10-19,476.14
2018-10-22,479.41
2018-10-23,.
2018-10-24,484.99
2018-10-25,485.20
2018-10-26,486.27
2018-10-29,486.15
2018-10-30,480.44
2018-10-31,475.24
2018-11-01,476.55
2018-11-02,486.44
2018-11-05,485.69
2018-11-06,484.51
2018-11-07,480.99
2018-11-08,477.16
2018-11-09,473.34
2018-11-12,468.54
2018-11-13,462.95
2018-11-14,460.93
2018-11-15,465.82
2018-11-16,470.81
2018-11-19,472.67
2018-11-20,475.98
2018-11-21,475.29
2018-11-22,478.86
2018-11-23,471.28
2018-11-26,475.16
2018-11-27,471.24
2018-11-28,467.09
2018-11-29,469.82
2018-11-30,467.68
2018-12-03,471.78
2018-12-04,475.65
2018-12-05,474.40
2018-12-06,472.40
2018-12-07,475.69
2018-12-10,477.36
2018-12-11,479.97
2018-12-12,480.51
2018-12-13,480.34
2018-12-14,478.19
2018-12-17,478.62
2018-12-18,479.81
2018-12-19,479.18
2018-12-20,482.45
2018-12-21,479.59
2018-12-24,478.16
2018-12-25,.
2018-12-26,.
2018-12-27,490.05
2018-12-28,498.03
2018-12-31,.
2019-01-01,.
2019-01-02,498.18
2019-01-03,499.78
2019-01-04,503.97
2019-01-07,504.17
2019-01-08,501.58
2019-01-09,500.35
2019-01-10,501.26
