DATE,VALUE
2017-10-02,59.36
2017-10-03,59.51
2017-10-04,59.98
2017-10-05,59.50
2017-10-06,60.17
2017-10-09,62.59
2017-10-10,63.12
2017-10-11,62.89
2017-10-12,62.94
2017-10-13,62.90
2017-10-16,63.51
2017-10-17,62.58
2017-10-18,62.44
2017-10-19,62.32
2017-10-20,62.56
2017-10-23,62.85
2017-10-24,63.32
2017-10-25,63.03
2017-10-26,64.17
2017-10-27,63.93
2017-10-30,63.24
2017-10-31,63.76
2017-11-01,64.78
2017-11-02,65.20
2017-11-03,65.44
2017-11-06,65.25
2017-11-07,65.77
2017-11-08,66.12
2017-11-09,65.74
2017-11-10,65.78
2017-11-13,65.62
2017-11-14,65.52
2017-11-15,66.53
2017-11-16,65.92
2017-11-17,66.59
2017-11-20,66.99
2017-11-21,67.21
2017-11-22,67.31
2017-11-23,66.95
2017-11-24,67.19
2017-11-27,67.01
2017-11-28,67.09
2017-11-29,66.90
2017-11-30,65.30
2017-12-01,64.51
2017-12-04,63.73
2017-12-05,62.96
2017-12-06,62.13
2017-12-07,61.53
2017-12-08,60.86
2017-12-11,60.68
2017-12-12,60.44
2017-12-13,60.42
2017-12-14,62.11
2017-12-15,61.72
2017-12-18,61.84
2017-12-19,62.07
2017-12-20,62.08
2017-12-21,61.69
2017-12-22,61.77
2017-12-25,.
2017-12-26,.
2017-12-27,63.09
2017-12-28,63.78
2017-12-29,63.84
2018-01-01,.
2018-01-02,64.13
2018-01-03,64.38
2018-01-04,64.37
2018-01-05,64.29
2018-01-08,64.44
2018-01-09,64.14
2018-01-10,64.99
2018-01-11,64.57
2018-01-12,64.46
2018-01-15,65.44
2018-01-16,65.16
2018-01-17,65.75
2018-01-18,64.78
2018-01-19,64.56
2018-01-22,64.98
2018-01-23,64.43
2018-01-24,64.48
2018-01-25,65.59
2018-01-26,65.23
2018-01-29,65.51
2018-01-30,65.24
2018-01-31,64.66
2018-02-01,64.55
2018-02-02,64.28
2018-02-05,63.53
2018-02-06,63.57
2018-02-07,63.07
2018-02-08,62.40
