DATE,VALUE
2017-10-02,504.65
2017-10-03,505.28
2017-10-04,511.08
2017-10-05,505.46
2017-10-06,505.38
2017-10-09,514.33
2017-10-10,518.94
2017-10-11,519.22
2017-10-12,519.32
2017-10-13,518.50
2017-10-16,524.88
2017-10-17,516.65
2017-10-18,512.20
2017-10-19,514.77
2017-10-20,516.50
2017-10-23,514.29
2017-10-24,515.72
2017-10-25,510.94
2017-10-26,513.09
2017-10-27,505.98
2017-10-30,505.11
2017-10-31,507.38
2017-11-01,510.93
2017-11-02,515.49
2017-11-03,515.78
2017-11-06,510.48
2017-11-07,513.30
2017-11-08,512.32
2017-11-09,515.98
2017-11-10,513.23
2017-11-13,510.98
2017-11-14,510.95
2017-11-15,514.63
2017-11-16,512.77
2017-11-17,513.76
2017-11-20,515.12
2017-11-21,510.32
2017-11-22,508.98
2017-11-23,512.47
2017-11-24,511.34
2017-11-27,513.32
2017-11-28,511.45
2017-11-29,506.97
2017-11-30,497.45
2017-12-01,492.52
2017-12-04,489.74
2017-12-05,488.76
2017-12-06,484.01
2017-12-07,477.92
2017-12-08,475.30
2017-12-11,475.35
2017-12-12,473.87
2017-12-13,471.98
2017-12-14,480.76
2017-12-15,479.20
2017-12-18,483.39
2017-12-19,484.02
2017-12-20,485.36
2017-12-21,483.88
2017-12-22,483.88
2017-12-25,.
2017-12-26,.
2017-12-27,494.51
2017-12-28,499.37
2017-12-29,500.01
2018-01-01,.
2018-01-02,504.24
2018-01-03,506.78
2018-01-04,507.26
2018-01-05,506.18
2018-01-08,507.66
2018-01-09,504.59
2018-01-10,506.44
2018-01-11,503.59
2018-01-12,507.30
2018-01-15,512.07
2018-01-16,505.85
2018-01-17,508.69
2018-01-18,504.89
2018-01-19,500.22
2018-01-22,498.84
2018-01-23,497.50
2018-01-24,500.88
2018-01-25,509.21
2018-01-26,507.10
2018-01-29,506.12
2018-01-30,504.67
2018-01-31,502.13
2018-02-01,502.98
2018-02-02,501.65
2018-02-05,495.18
2018-02-06,493.21
2018-02-07,488.58
2018-02-08,480.12
2018-02-09,480.03
2018-02-12,481.96
2018-02-13,486.53
2018-02-14,484.87
2018-02-15,489.07
2018-02-16,489.61
2018-02-19,486.41
2018-02-20,483.68
2018-02-21,479.75
2018-02-22,482.26
2018-02-23,486.05
2018-02-26,487.35
2018-02-27,484.95
2018-02-28,482.00
2018-03-01,479.20
2018-03-02,482.18
2018-03-05,483.92
2018-03-06,485.92
2018-03-07,487.44
2018-03-08,483.27
2018-03-09,483.43
2018-03-12,481.95
2018-03-13,483.02
2018-03-14,485.07
2018-03-15,481.00
2018-03-16,479.66
2018-03-19,475.04
2018-03-20,473.85
2018-03-21,474.36
2018-03-22,481.83
2018-03-23,481.73
2018-03-26,483.13
2018-03-27,484.90
2018-03-28,480.23
2018-03-29,474.87
2018-03-30,.
2018-04-02,.
2018-04-03,481.86
2018-04-04,481.63
2018-04-05,476.54
2018-04-06,476.89
2018-04-09,477.73
2018-04-10,481.72
2018-04-11,483.92
2018-04-12,487.92
2018-04-13,483.74
2018-04-16,487.91
2018-04-17,488.28
2018-04-18,497.17
2018-04-19,504.62
2018-04-20,503.37
2018-04-23,501.24
2018-04-24,490.90
2018-04-25,492.06
2018-04-26,491.64
2018-04-27,489.01
2018-04-30,485.01
2018-05-01,482.50
2018-05-02,486.13
2018-05-03,489.15
2018-05-04,487.73
2018-05-07,.
2018-05-08,489.93
2018-05-09,491.33
2018-05-10,494.52
2018-05-11,498.41
2018-05-14,495.45
2018-05-15,490.56
2018-05-16,486.00
2018-05-17,490.20
2018-05-18,490.89
2018-05-21,489.99
2018-05-22,495.74
2018-05-23,495.73
2018-05-24,494.64
2018-05-25,498.83
2018-05-28,.
2018-05-29,495.36
2018-05-30,491.98
2018-05-31,496.20
2018-06-01,489.91
2018-06-04,489.37
2018-06-05,488.73
2018-06-06,492.23
2018-06-07,497.61
2018-06-08,500.39
2018-06-11,500.18
2018-06-12,503.21
2018-06-13,504.72
2018-06-14,511.87
2018-06-15,516.81
2018-06-18,500.82
2018-06-19,494.94
2018-06-20,491.55
2018-06-21,493.66
2018-06-22,497.32
2018-06-25,497.60
2018-06-26,494.17
2018-06-27,494.28
2018-06-28,492.39
2018-06-29,488.06
2018-07-02,488.36
2018-07-03,486.89
2018-07-04,490.12
2018-07-05,487.28
2018-07-06,487.78
2018-07-09,491.94
2018-07-10,484.93
2018-07-11,486.44
2018-07-12,484.43
2018-07-13,484.82
2018-07-16,482.80
2018-07-17,481.62
2018-07-18,473.11
2018-07-19,468.86
2018-07-20,471.74
2018-07-23,474.77
2018-07-24,474.78
2018-07-25,475.70
2018-07-26,474.63
2018-07-27,470.48
2018-07-30,473.75
2018-07-31,472.81
2018-08-01,473.60
2018-08-02,474.55
2018-08-03,471.56
2018-08-06,470.29
2018-08-07,472.67
2018-08-08,469.66
2018-08-09,474.49
2018-08-10,472.09
2018-08-13,468.42
2018-08-14,462.97
2018-08-15,457.45
2018-08-16,450.08
2018-08-17,451.64
2018-08-20,454.48
2018-08-21,453.84
2018-08-22,454.87
2018-08-23,450.53
2018-08-24,449.35
2018-08-27,.
2018-08-28,457.04
2018-08-29,451.20
2018-08-30,450.14
2018-08-31,450.36
2018-09-03,446.48
2018-09-04,439.01
2018-09-05,436.60
2018-09-06,438.99
2018-09-07,436.56
2018-09-10,438.30
2018-09-11,435.49
2018-09-12,435.87
2018-09-13,438.13
2018-09-14,437.22
2018-09-17,436.39
2018-09-18,437.98
2018-09-19,436.71
2018-09-20,437.80
2018-09-21,438.95
2018-09-24,439.06
2018-09-25,438.57
2018-09-26,444.01
2018-09-27,440.63
2018-09-28,436.40
2018-10-01,444.09
2018-10-02,444.88
2018-10-03,452.27
2018-10-04,451.05
2018-10-05,452.47
2018-10-08,447.87
2018-10-09,444.38
2018-10-10,445.57
2018-10-11,447.34
2018-10-12,450.34
2018-10-15,454.75
2018-10-16,454.37
2018-10-17,452.37
2018-10-18,449.11
2018-10-19,451.38
2018-10-22,452.20
2018-10-23,.
2018-10-24,456.43
2018-10-25,456.56
2018-10-26,455.68
2018-10-29,453.29
2018-10-30,446.79
2018-10-31,443.72
2018-11-01,444.65
2018-11-02,451.59
2018-11-05,452.62
2018-11-06,451.75
2018-11-07,449.49
2018-11-08,444.56
2018-11-09,441.17
2018-11-12,437.15
2018-11-13,433.27
2018-11-14,432.21
2018-11-15,435.88
2018-11-16,441.45
2018-11-19,443.53
2018-11-20,446.45
2018-11-21,445.39
2018-11-22,448.45
2018-11-23,440.82
2018-11-26,443.96
2018-11-27,440.77
2018-11-28,436.82
2018-11-29,439.44
2018-11-30,438.90
2018-12-03,442.04
2018-12-04,446.20
2018-12-05,446.03
2018-12-06,443.80
2018-12-07,447.46
2018-12-10,448.98
2018-12-11,451.26
2018-12-12,452.14
2018-12-13,452.86
2018-12-14,450.30
2018-12-17,450.11
2018-12-18,451.24
2018-12-19,451.23
2018-12-20,454.30
2018-12-21,451.81
2018-12-24,452.51
2018-12-25,.
2018-12-26,.
2018-12-27,463.88
2018-12-28,469.31
2018-12-31,.
2019-01-01,.
2019-01-02,475.17
2019-01-03,480.50
2019-01-04,484.37
2019-01-07,485.56
2019-01-08,482.51
2019-01-09,481.14
2019-01-10,483.75
