DATE,VALUE
2017-10-02,16.580
2017-10-03,16.610
2017-10-04,16.825
2017-10-05,16.660
2017-10-06,16.625
2017-10-09,16.920
2017-10-10,17.120
2017-10-11,17.150
2017-10-12,17.195
2017-10-13,17.200
2017-10-16,17.410
2017-10-17,17.110
2017-10-18,16.950
2017-10-19,17.025
2017-10-20,17.075
2017-10-23,16.995
2017-10-24,17.035
2017-10-25,16.890
2017-10-26,16.970
2017-10-27,16.720
2017-10-30,16.735
2017-10-31,16.820
2017-11-01,16.940
2017-11-02,17.080
2017-11-03,17.085
2017-11-06,16.915
2017-11-07,17.005
2017-11-08,16.995
2017-11-09,17.100
2017-11-10,17.000
2017-11-13,16.925
2017-11-14,16.935
2017-11-15,17.115
2017-11-16,17.040
2017-11-17,17.085
2017-11-20,17.145
2017-11-21,17.000
2017-11-22,16.965
2017-11-23,17.095
2017-11-24,17.050
2017-11-27,17.100
2017-11-28,17.070
2017-11-29,16.895
2017-11-30,16.570
2017-12-01,16.420
2017-12-04,16.330
2017-12-05,16.285
2017-12-06,16.115
2017-12-07,15.910
2017-12-08,15.825
2017-12-11,15.835
2017-12-12,15.780
2017-12-13,15.705
2017-12-14,16.010
2017-12-15,15.985
2017-12-18,16.090
2017-12-19,16.155
2017-12-20,16.185
2017-12-21,16.145
2017-12-22,16.175
2017-12-25,.
2017-12-26,.
2017-12-27,16.500
2017-12-28,16.740
2017-12-29,16.865
2018-01-01,.
2018-01-02,17.060
2018-01-03,17.125
2018-01-04,17.130
2018-01-05,17.155
2018-01-08,17.170
2018-01-09,17.055
2018-01-10,17.135
2018-01-11,17.010
2018-01-12,17.120
2018-01-15,17.325
2018-01-16,17.095
2018-01-17,17.210
2018-01-18,17.090
2018-01-19,17.040
2018-01-22,17.035
2018-01-23,16.980
2018-01-24,17.190
2018-01-25,17.520
2018-01-26,17.400
2018-01-29,17.335
2018-01-30,17.295
2018-01-31,17.230
2018-02-01,17.190
2018-02-02,17.135
2018-02-05,16.875
2018-02-06,16.805
2018-02-07,16.690
2018-02-08,16.345
2018-02-09,16.355
2018-02-12,16.425
2018-02-13,16.605
2018-02-14,16.580
2018-02-15,16.825
2018-02-16,16.835
2018-02-19,16.720
2018-02-20,16.570
2018-02-21,16.435
2018-02-22,16.465
2018-02-23,16.610
2018-02-26,16.670
2018-02-27,16.610
2018-02-28,16.440
2018-03-01,16.315
2018-03-02,16.445
2018-03-05,16.510
2018-03-06,16.620
2018-03-07,16.645
2018-03-08,16.480
2018-03-09,16.485
2018-03-12,16.455
2018-03-13,16.510
2018-03-14,16.605
2018-03-15,16.520
2018-03-16,16.475
2018-03-19,16.285
2018-03-20,16.250
2018-03-21,16.245
2018-03-22,16.520
2018-03-23,16.530
2018-03-26,16.610
2018-03-27,16.640
2018-03-28,16.455
2018-03-29,16.280
2018-03-30,.
2018-04-02,.
2018-04-03,16.520
2018-04-04,16.460
2018-04-05,16.305
2018-04-06,16.275
2018-04-09,16.340
2018-04-10,16.490
2018-04-11,16.565
2018-04-12,16.655
2018-04-13,16.505
2018-04-16,16.600
2018-04-17,16.625
2018-04-18,16.945
2018-04-19,17.195
2018-04-20,17.110
2018-04-23,16.935
2018-04-24,16.595
2018-04-25,16.565
2018-04-26,16.575
2018-04-27,16.530
2018-04-30,16.380
2018-05-01,16.250
2018-05-02,16.350
2018-05-03,16.465
2018-05-04,16.415
2018-05-07,.
2018-05-08,16.445
2018-05-09,16.440
2018-05-10,16.600
2018-05-11,16.760
2018-05-14,16.645
2018-05-15,16.410
2018-05-16,16.255
2018-05-17,16.385
2018-05-18,16.390
2018-05-21,16.340
2018-05-22,16.580
2018-05-23,16.530
2018-05-24,16.510
2018-05-25,16.670
2018-05-28,.
2018-05-29,16.475
2018-05-30,16.370
2018-05-31,16.550
2018-06-01,16.420
2018-06-04,16.440
2018-06-05,16.385
2018-06-06,16.545
2018-06-07,16.745
2018-06-08,16.720
2018-06-11,16.760
2018-06-12,16.855
2018-06-13,16.905
2018-06-14,17.125
2018-06-15,17.225
2018-06-18,16.605
2018-06-19,16.355
2018-06-20,16.285
2018-06-21,16.245
2018-06-22,16.425
2018-06-25,16.375
2018-06-26,16.225
2018-06-27,16.210
2018-06-28,16.110
2018-06-29,16.030
2018-07-02,15.980
2018-07-03,15.930
2018-07-04,16.045
2018-07-05,15.950
2018-07-06,15.995
2018-07-09,16.205
2018-07-10,15.930
2018-07-11,15.915
2018-07-12,15.840
2018-07-13,15.810
2018-07-16,15.810
2018-07-17,15.770
2018-07-18,15.440
2018-07-19,15.260
2018-07-20,15.370
2018-07-23,15.485
2018-07-24,15.510
2018-07-25,15.565
2018-07-26,15.535
2018-07-27,15.355
2018-07-30,15.490
2018-07-31,15.430
2018-08-01,15.475
2018-08-02,15.450
2018-08-03,15.360
2018-08-06,15.345
2018-08-07,15.465
2018-08-08,15.345
2018-08-09,15.480
2018-08-10,15.375
2018-08-13,15.185
2018-08-14,15.035
2018-08-15,14.825
2018-08-16,14.605
2018-08-17,14.660
2018-08-20,14.755
2018-08-21,14.785
2018-08-22,14.810
2018-08-23,14.625
2018-08-24,14.620
2018-08-27,.
2018-08-28,14.900
2018-08-29,14.690
2018-08-30,14.665
2018-08-31,14.655
2018-09-03,14.525
2018-09-04,14.250
2018-09-05,14.170
2018-09-06,14.265
2018-09-07,14.185
2018-09-10,14.215
2018-09-11,14.125
2018-09-12,14.155
2018-09-13,14.225
2018-09-14,14.215
2018-09-17,14.170
2018-09-18,14.210
2018-09-19,14.185
2018-09-20,14.230
2018-09-21,14.330
2018-09-24,14.315
2018-09-25,14.290
2018-09-26,14.475
2018-09-27,14.420
2018-09-28,14.305
2018-10-01,14.550
2018-10-02,14.505
2018-10-03,14.735
2018-10-04,14.630
2018-10-05,14.635
2018-10-08,14.465
2018-10-09,14.325
2018-10-10,14.375
2018-10-11,14.400
2018-10-12,14.600
2018-10-15,14.740
2018-10-16,14.755
2018-10-17,14.650
2018-10-18,14.515
2018-10-19,14.610
2018-10-22,14.630
2018-10-23,.
2018-10-24,14.745
2018-10-25,14.740
2018-10-26,14.690
2018-10-29,14.650
2018-10-30,14.425
