DATE,VALUE
2017-10-02,225.61
2017-10-03,227.11
2017-10-04,228.15
2017-10-05,227.60
2017-10-06,228.18
2017-10-09,233.39
2017-10-10,234.70
2017-10-11,232.64
2017-10-12,232.20
2017-10-13,229.84
2017-10-16,232.07
2017-10-17,229.53
2017-10-18,228.56
2017-10-19,230.51
2017-10-20,233.65
2017-10-23,233.20
2017-10-24,233.70
2017-10-25,232.28
2017-10-26,241.58
2017-10-27,237.14
2017-10-30,236.01
2017-10-31,237.41
2017-11-01,239.51
2017-11-02,239.10
2017-11-03,241.25
2017-11-06,239.88
2017-11-07,241.81
2017-11-08,241.92
2017-11-09,241.51
2017-11-10,244.32
2017-11-13,245.57
2017-11-14,243.54
2017-11-15,246.10
2017-11-16,243.88
2017-11-17,240.33
2017-11-20,240.68
2017-11-21,239.60
2017-11-22,236.11
2017-11-23,237.21
2017-11-24,238.32
2017-11-27,235.12
2017-11-28,234.60
2017-11-29,230.97
2017-11-30,225.47
2017-12-01,225.35
2017-12-04,223.34
2017-12-05,219.83
2017-12-06,218.78
2017-12-07,216.41
2017-12-08,215.48
2017-12-11,215.93
2017-12-12,215.12
2017-12-13,214.25
2017-12-14,215.63
2017-12-15,213.16
2017-12-18,206.38
2017-12-19,206.35
2017-12-20,205.56
2017-12-21,205.15
2017-12-22,206.40
2017-12-25,.
2017-12-26,.
2017-12-27,204.63
2017-12-28,206.46
2017-12-29,207.58
2018-01-01,.
2018-01-02,210.63
2018-01-03,211.62
2018-01-04,210.62
2018-01-05,212.36
2018-01-08,214.03
2018-01-09,210.22
2018-01-10,213.74
2018-01-11,211.64
2018-01-12,212.33
2018-01-15,213.32
2018-01-16,209.54
2018-01-17,212.12
2018-01-18,209.26
2018-01-19,207.51
2018-01-22,205.96
2018-01-23,206.25
2018-01-24,205.81
2018-01-25,208.42
2018-01-26,206.75
2018-01-29,207.44
2018-01-30,205.61
2018-01-31,204.48
2018-02-01,205.03
2018-02-02,205.24
2018-02-05,203.20
2018-02-06,203.38
2018-02-07,199.83
2018-02-08,197.92
2018-02-09,197.88
2018-02-12,196.11
2018-02-13,197.42
2018-02-14,196.25
2018-02-15,196.46
2018-02-16,196.18
2018-02-19,194.74
2018-02-20,194.65
2018-02-21,192.60
2018-02-22,192.56
2018-02-23,192.62
2018-02-26,193.07
2018-02-27,193.14
2018-02-28,193.32
2018-03-01,193.77
2018-03-02,195.74
2018-03-05,197.20
2018-03-06,195.02
2018-03-07,198.18
2018-03-08,196.38
2018-03-09,196.13
2018-03-12,195.13
2018-03-13,195.44
2018-03-14,195.41
2018-03-15,195.52
2018-03-16,196.90
2018-03-19,196.30
2018-03-20,194.25
2018-03-21,194.97
2018-03-22,195.11
2018-03-23,194.51
2018-03-26,193.96
2018-03-27,194.17
2018-03-28,192.58
2018-03-29,192.59
