DATE,VALUE
1986-06-06,0.434
1986-06-13,0.425
1986-06-20,0.417
1986-06-27,0.409
1986-07-04,0.385
1986-07-11,0.346
1986-07-18,0.336
1986-07-25,0.333
1986-08-01,0.316
1986-08-08,0.400
1986-08-15,0.435
1986-08-22,0.444
1986-08-29,0.446
1986-09-05,0.457
1986-09-12,0.426
1986-09-19,0.408
1986-09-26,0.402
1986-10-03,0.412
1986-10-10,0.419
1986-10-17,0.412
1986-10-24,0.413
1986-10-31,0.391
1986-11-07,0.405
1986-11-14,0.414
1986-11-21,0.414
1986-11-28,0.409
1986-12-05,0.417
1986-12-12,0.419
1986-12-19,0.435
1986-12-26,0.456
1987-01-02,0.470
1987-01-09,0.488
1987-01-16,0.503
1987-01-23,0.487
1987-01-30,0.478
1987-02-06,0.496
1987-02-13,0.486
1987-02-20,0.469
1987-02-27,0.445
1987-03-06,0.489
1987-03-13,0.510
1987-03-20,0.516
1987-03-27,0.519
1987-04-03,0.517
1987-04-10,0.504
1987-04-17,0.492
1987-04-24,0.498
1987-05-01,0.513
1987-05-08,0.526
1987-05-15,0.545
1987-05-22,0.551
1987-05-29,0.551
1987-06-05,0.555
1987-06-12,0.565
1987-06-19,0.561
1987-06-26,0.548
1987-07-03,0.556
1987-07-10,0.556
1987-07-17,0.563
1987-07-24,0.557
1987-07-31,0.550
1987-08-07,0.550
1987-08-14,0.540
1987-08-21,0.507
1987-08-28,0.500
1987-09-04,0.505
1987-09-11,0.511
1987-09-18,0.528
1987-09-25,0.525
1987-10-02,0.520
1987-10-09,0.521
1987-10-16,0.535
1987-10-23,0.558
1987-10-30,0.557
1987-11-06,0.531
1987-11-13,0.525
1987-11-20,0.505
1987-11-27,0.505
1987-12-04,0.492
1987-12-11,0.474
1987-12-18,0.432
1987-12-25,0.438
1988-01-01,0.438
1988-01-08,0.461
1988-01-15,0.441
1988-01-22,0.450
1988-01-29,0.445
1988-02-05,0.469
1988-02-12,0.464
1988-02-19,0.457
1988-02-26,0.455
1988-03-04,0.445
1988-03-11,0.434
1988-03-18,0.445
1988-03-25,0.463
1988-04-01,0.479
1988-04-08,0.478
1988-04-15,0.518
1988-04-22,0.517
1988-04-29,0.515
1988-05-06,0.504
1988-05-13,0.527
1988-05-20,0.531
1988-05-27,0.525
1988-06-03,0.526
1988-06-10,0.511
1988-06-17,0.510
1988-06-24,0.518
1988-07-01,0.529
1988-07-08,0.567
1988-07-15,0.575
1988-07-22,0.561
1988-07-29,0.523
1988-08-05,0.494
1988-08-12,0.476
1988-08-19,0.482
1988-08-26,0.480
1988-09-02,0.477
1988-09-09,0.447
1988-09-16,0.465
1988-09-23,0.467
1988-09-30,0.477
1988-10-07,0.456
1988-10-14,0.481
1988-10-21,0.536
1988-10-28,0.567
1988-11-04,0.527
1988-11-11,0.554
1988-11-18,0.529
1988-11-25,0.490
1988-12-02,0.492
1988-12-09,0.466
1988-12-16,0.459
1988-12-23,0.472
1988-12-30,0.484
1989-01-06,0.483
1989-01-13,0.498
1989-01-20,0.519
1989-01-27,0.506
1989-02-03,0.489
1989-02-10,0.475
1989-02-17,0.472
1989-02-24,0.484
1989-03-03,0.507
1989-03-10,0.508
1989-03-17,0.542
1989-03-24,0.553
1989-03-31,0.610
1989-04-07,0.657
1989-04-14,0.687
1989-04-21,0.728
1989-04-28,0.726
1989-05-05,0.729
1989-05-12,0.675
1989-05-19,0.655
1989-05-26,0.661
1989-06-02,0.673
1989-06-09,0.669
1989-06-16,0.617
1989-06-23,0.617
1989-06-30,0.630
1989-07-07,0.594
1989-07-14,0.591
1989-07-21,0.556
1989-07-28,0.522
1989-08-04,0.519
1989-08-11,0.511
1989-08-18,0.528
1989-08-25,0.537
1989-09-01,0.546
1989-09-08,0.573
1989-09-15,0.583
1989-09-22,0.610
1989-09-29,0.613
1989-10-06,0.574
1989-10-13,0.569
1989-10-20,0.555
1989-10-27,0.537
1989-11-03,0.522
1989-11-10,0.514
1989-11-17,0.505
1989-11-24,0.511
1989-12-01,0.499
1989-12-08,0.516
1989-12-15,0.510
1989-12-22,0.541
1989-12-29,0.618
1990-01-05,0.668
1990-01-12,0.655
1990-01-19,0.640
1990-01-26,0.613
1990-02-02,0.623
1990-02-09,0.605
1990-02-16,0.592
1990-02-23,0.586
1990-03-02,0.556
1990-03-09,0.551
1990-03-16,0.543
1990-03-23,0.562
1990-03-30,0.574
1990-04-06,0.601
1990-04-13,0.559
1990-04-20,0.609
1990-04-27,0.625
1990-05-04,0.608
1990-05-11,0.647
1990-05-18,0.659
1990-05-25,0.641
1990-06-01,0.655
1990-06-08,0.640
1990-06-15,0.650
1990-06-22,0.662
1990-06-29,0.634
1990-07-06,0.624
1990-07-13,0.646
1990-07-20,0.667
1990-07-27,0.664
1990-08-03,0.696
1990-08-10,0.843
1990-08-17,0.901
1990-08-24,1.054
1990-08-31,0.898
1990-09-07,1.038
1990-09-14,1.000
1990-09-21,0.934
1990-09-28,1.024
1990-10-05,0.945
1990-10-12,0.987
1990-10-19,0.972
1990-10-26,0.916
1990-11-02,0.972
1990-11-09,0.959
1990-11-16,0.850
1990-11-23,0.822
1990-11-30,0.834
1990-12-07,0.706
1990-12-14,0.660
1990-12-21,0.662
1990-12-28,0.683
1991-01-04,0.666
1991-01-11,0.725
1991-01-18,0.734
1991-01-25,0.643
1991-02-01,0.665
1991-02-08,0.659
1991-02-15,0.663
1991-02-22,0.635
1991-03-01,0.686
1991-03-08,0.750
1991-03-15,0.734
1991-03-22,0.714
1991-03-29,0.692
1991-04-05,0.701
1991-04-12,0.717
1991-04-19,0.740
1991-04-26,0.725
1991-05-03,0.719
1991-05-10,0.731
1991-05-17,0.701
1991-05-24,0.677
1991-05-31,0.674
1991-06-07,0.656
1991-06-14,0.636
1991-06-21,0.624
1991-06-28,0.623
1991-07-05,0.638
1991-07-12,0.650
1991-07-19,0.649
1991-07-26,0.663
1991-08-02,0.678
1991-08-09,0.715
1991-08-16,0.709
1991-08-23,0.703
1991-08-30,0.665
1991-09-06,0.632
1991-09-13,0.622
1991-09-20,0.617
1991-09-27,0.617
1991-10-04,0.623
1991-10-11,0.631
1991-10-18,0.643
1991-10-25,0.652
1991-11-01,0.676
1991-11-08,0.685
1991-11-15,0.640
1991-11-22,0.641
1991-11-29,0.625
1991-12-06,0.590
1991-12-13,0.548
1991-12-20,0.545
1991-12-27,0.537
1992-01-03,0.552
1992-01-10,0.516
1992-01-17,0.526
1992-01-24,0.524
1992-01-31,0.542
1992-02-07,0.578
1992-02-14,0.566
1992-02-21,0.535
1992-02-28,0.534
1992-03-06,0.573
1992-03-13,0.567
1992-03-20,0.576
1992-03-27,0.565
1992-04-03,0.591
1992-04-10,0.601
1992-04-17,0.568
1992-04-24,0.604
1992-05-01,0.618
1992-05-08,0.643
1992-05-15,0.628
1992-05-22,0.620
1992-05-29,0.651
1992-06-05,0.659
1992-06-12,0.658
1992-06-19,0.646
1992-06-26,0.635
1992-07-03,0.608
1992-07-10,0.583
1992-07-17,0.589
1992-07-24,0.607
1992-07-31,0.615
1992-08-07,0.602
1992-08-14,0.614
1992-08-21,0.626
1992-08-28,0.634
1992-09-04,0.650
1992-09-11,0.633
1992-09-18,0.617
1992-09-25,0.595
1992-10-02,0.591
1992-10-09,0.605
1992-10-16,0.607
1992-10-23,0.601
1992-10-30,0.613
1992-11-06,0.630
1992-11-13,0.584
1992-11-20,0.564
1992-11-27,0.551
1992-12-04,0.527
1992-12-11,0.514
1992-12-18,0.542
1992-12-25,0.548
1993-01-01,0.539
1993-01-08,0.530
1993-01-15,0.512
1993-01-22,0.519
1993-01-29,0.545
1993-02-05,0.546
1993-02-12,0.526
1993-02-19,0.497
1993-02-26,0.524
1993-03-05,0.546
1993-03-12,0.542
1993-03-19,0.536
1993-03-26,0.530
1993-04-02,0.570
1993-04-09,0.589
1993-04-16,0.592
1993-04-23,0.594
1993-04-30,0.599
1993-05-07,0.614
1993-05-14,0.600
1993-05-21,0.585
1993-05-28,0.577
1993-06-04,0.571
1993-06-11,0.546
1993-06-18,0.539
1993-06-25,0.540
1993-07-02,0.540
1993-07-09,0.523
1993-07-16,0.516
1993-07-23,0.515
1993-07-30,0.518
1993-08-06,0.513
1993-08-13,0.549
1993-08-20,0.541
1993-08-27,0.531
1993-09-03,0.510
1993-09-10,0.478
1993-09-17,0.476
1993-09-24,0.485
1993-10-01,0.495
1993-10-08,0.504
1993-10-15,0.522
1993-10-22,0.505
1993-10-29,0.479
1993-11-05,0.467
1993-11-12,0.442
1993-11-19,0.445
1993-11-26,0.438
1993-12-03,0.398
1993-12-10,0.372
1993-12-17,0.365
1993-12-24,0.383
1993-12-31,0.374
1994-01-07,0.421
1994-01-14,0.419
1994-01-21,0.413
1994-01-28,0.436
1994-02-04,0.444
1994-02-11,0.436
1994-02-18,0.422
1994-02-25,0.438
1994-03-04,0.440
1994-03-11,0.426
1994-03-18,0.446
