DATE,VALUE
1990-04-06,0.548
1990-04-13,0.540
1990-04-20,0.543
1990-04-27,0.530
1990-05-04,0.522
1990-05-11,0.519
1990-05-18,0.520
1990-05-25,0.508
1990-06-01,0.504
1990-06-08,0.487
1990-06-15,0.497
1990-06-22,0.492
1990-06-29,0.499
1990-07-06,0.493
1990-07-13,0.514
1990-07-20,0.554
1990-07-27,0.558
1990-08-03,0.599
1990-08-10,0.723
1990-08-17,0.775
1990-08-24,0.951
1990-08-31,0.821
1990-09-07,0.904
1990-09-14,0.916
1990-09-21,0.985
1990-09-28,1.221
1990-10-05,1.242
1990-10-12,1.377
1990-10-19,1.226
1990-10-26,1.002
1990-11-02,1.064
1990-11-09,1.024
1990-11-16,0.950
1990-11-23,0.907
1990-11-30,0.955
1990-12-07,0.853
1990-12-14,0.764
1990-12-21,0.774
1990-12-28,0.818
1991-01-04,0.757
1991-01-11,0.785
1991-01-18,0.799
1991-01-25,0.698
1991-02-01,0.670
1991-02-08,0.677
1991-02-15,0.680
1991-02-22,0.611
1991-03-01,0.559
1991-03-08,0.561
1991-03-15,0.557
1991-03-22,0.566
1991-03-29,0.552
1991-04-05,0.538
1991-04-12,0.555
1991-04-19,0.556
1991-04-26,0.561
1991-05-03,0.549
1991-05-10,0.566
1991-05-17,0.570
1991-05-24,0.575
1991-05-31,0.576
1991-06-07,0.557
1991-06-14,0.541
1991-06-21,0.544
1991-06-28,0.548
1991-07-05,0.567
1991-07-12,0.584
1991-07-19,0.593
1991-07-26,0.588
1991-08-02,0.601
1991-08-09,0.597
1991-08-16,0.612
1991-08-23,0.646
1991-08-30,0.645
1991-09-06,0.646
1991-09-13,0.625
1991-09-20,0.627
1991-09-27,0.642
1991-10-04,0.643
1991-10-11,0.659
1991-10-18,0.679
1991-10-25,0.684
1991-11-01,0.688
1991-11-08,0.697
1991-11-15,0.650
1991-11-22,0.620
1991-11-29,0.605
1991-12-06,0.576
1991-12-13,0.524
1991-12-20,0.516
1991-12-27,0.482
1992-01-03,0.480
1992-01-10,0.472
1992-01-17,0.517
1992-01-24,0.525
1992-01-31,0.534
1992-02-07,0.559
1992-02-14,0.564
1992-02-21,0.534
1992-02-28,0.517
1992-03-06,0.512
1992-03-13,0.511
1992-03-20,0.525
1992-03-27,0.511
1992-04-03,0.521
1992-04-10,0.542
1992-04-17,0.540
1992-04-24,0.547
1992-05-01,0.556
1992-05-08,0.580
1992-05-15,0.579
1992-05-22,0.563
1992-05-29,0.601
1992-06-05,0.611
1992-06-12,0.611
1992-06-19,0.610
1992-06-26,0.628
1992-07-03,0.613
1992-07-10,0.597
1992-07-17,0.607
1992-07-24,0.621
1992-07-31,0.621
1992-08-07,0.591
1992-08-14,0.583
1992-08-21,0.588
1992-08-28,0.593
1992-09-04,0.610
1992-09-11,0.616
1992-09-18,0.627
1992-09-25,0.631
1992-10-02,0.632
1992-10-09,0.633
1992-10-16,0.636
1992-10-23,0.617
1992-10-30,0.595
1992-11-06,0.569
1992-11-13,0.563
1992-11-20,0.561
1992-11-27,0.553
1992-12-04,0.536
1992-12-11,0.530
1992-12-18,0.533
1992-12-25,0.567
1993-01-01,0.567
1993-01-08,0.540
1993-01-15,0.525
1993-01-22,0.519
1993-01-29,0.554
1993-02-05,0.560
1993-02-12,0.555
1993-02-19,0.532
1993-02-26,0.562
1993-03-05,0.572
1993-03-12,0.562
1993-03-19,0.559
1993-03-26,0.554
1993-04-02,0.544
1993-04-09,0.549
1993-04-16,0.554
1993-04-23,0.548
1993-04-30,0.553
1993-05-07,0.561
1993-05-14,0.554
1993-05-21,0.550
1993-05-28,0.549
1993-06-04,0.546
1993-06-11,0.529
1993-06-18,0.518
1993-06-25,0.518
1993-07-02,0.516
1993-07-09,0.499
1993-07-16,0.488
1993-07-23,0.488
1993-07-30,0.498
1993-08-06,0.486
1993-08-13,0.493
1993-08-20,0.503
1993-08-27,0.515
1993-09-03,0.521
1993-09-10,0.509
1993-09-17,0.517
1993-09-24,0.553
1993-10-01,0.571
1993-10-08,0.570
1993-10-15,0.575
1993-10-22,0.564
1993-10-29,0.559
1993-11-05,0.546
1993-11-12,0.529
1993-11-19,0.539
1993-11-26,0.534
1993-12-03,0.481
1993-12-10,0.433
1993-12-17,0.435
1993-12-24,0.450
1993-12-31,0.452
1994-01-07,0.489
1994-01-14,0.525
1994-01-21,0.537
1994-01-28,0.558
1994-02-04,0.579
1994-02-11,0.526
1994-02-18,0.455
1994-02-25,0.458
1994-03-04,0.457
1994-03-11,0.439
1994-03-18,0.456
1994-03-25,0.463
1994-04-01,0.437
1994-04-08,0.462
1994-04-15,0.469
1994-04-22,0.473
1994-04-29,0.472
1994-05-06,0.464
1994-05-13,0.475
1994-05-20,0.472
1994-05-27,0.475
1994-06-03,0.483
1994-06-10,0.463
1994-06-17,0.502
1994-06-24,0.511
1994-07-01,0.505
1994-07-08,0.497
1994-07-15,0.508
1994-07-22,0.506
1994-07-29,0.521
1994-08-05,0.528
1994-08-12,0.497
1994-08-19,0.487
1994-08-26,0.481
1994-09-02,0.498
1994-09-09,0.502
1994-09-16,0.475
1994-09-23,0.487
1994-09-30,0.495
1994-10-07,0.506
